city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,experience_is_missing,education_level_is_missing,last_new_job_is_missing,company_size_is_missing,gender_is_missing,enrolled_university_is_missing,major_discipline_is_missing,company_type_is_missing
0.92,1,1,0,3,4,21,3,2,1,36,1,0,0,0,1,0,0,0,1
0.776,1,0,0,3,4,15,2,4,5,47,0,0,0,0,0,0,0,0,0
0.624,1,0,2,3,4,5,3,2,0,83,0,0,0,0,1,1,0,0,1
0.789,1,0,1,3,3,0,3,4,0,52,1,0,0,0,1,1,1,0,0
0.767,1,1,0,4,4,21,2,3,4,8,0,0,0,0,0,0,0,0,0
0.764,1,1,1,3,4,11,3,2,1,24,1,0,0,0,1,1,0,0,1
0.92,1,1,0,2,2,5,2,3,1,24,0,0,0,0,0,0,0,1,0
0.762,1,1,0,3,4,13,0,4,5,18,1,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,7,2,4,1,46,1,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,17,7,4,5,123,0,0,0,0,0,1,0,0,0
0.624,1,0,2,2,2,2,3,2,0,32,1,0,0,0,1,1,0,1,1
0.92,1,1,0,3,4,5,6,4,1,108,0,0,0,0,0,0,0,0,0
0.913,1,1,0,3,4,21,5,4,3,23,0,0,0,0,0,0,0,0,0
0.624,1,0,1,3,2,2,3,2,0,24,0,0,1,0,1,0,1,1,1
0.624,1,0,2,2,2,5,3,2,0,26,0,0,0,0,1,1,0,1,1
0.926,1,1,0,3,4,16,1,4,5,18,0,0,0,0,0,0,0,0,0
0.92,1,1,0,3,4,1,2,4,0,106,0,0,0,0,0,1,0,0,0
0.624,1,1,0,3,4,2,6,4,2,7,0,0,0,0,0,1,0,0,0
0.624,1,1,0,3,4,7,7,4,0,23,1,0,0,0,0,1,0,0,0
0.827,0,1,0,3,2,4,3,2,1,132,1,0,0,0,1,0,0,0,1
0.843,1,1,0,4,4,11,3,4,1,68,0,0,0,0,0,0,0,0,0
0.926,1,1,0,4,4,11,3,4,2,50,0,0,0,0,0,0,0,0,0
0.804,1,1,0,4,4,10,3,2,1,48,0,0,0,0,1,1,0,0,1
